method,accuracy,balanced_accuracy,precision_positive,recall_positive,f1_positive,roc_auc
majority_baseline,1.0,1.0,0.0,0.0,0.0,
logistic_regression,0.9977064220183486,0.9977064220183486,0.0,0.0,0.0,
