column,missing_percent
date,0.0
pm2_5,0.0
pm10,0.0
carbon_monoxide,0.0
dust,0.0
temperature_2m,0.0
relative_humidity_2m,0.0
wind_speed_10m,0.0
wind_direction_10m,0.0
precipitation,0.0
surface_pressure,0.0
location,0.0
pm25_today,0.0
pm25_lag1,0.091
pm25_lag7,0.639
pm25_7d_mean,0.639
pm25_tomorrow,0.091
tomorrow_exceeds_37_5,0.0
day_of_week,0.0
month,0.0
